,id,name,street_address,price,cuisine,rating,latitude,longitude,price_mid,cuisine_cat,duplicate
76,76,Adam&#39;s Delights,"Adam Road Food Centre, 2 Adam Road #01-11",$0 - $9,Indian,3.5,1.324163,103.814149,4.5,20,0
77,77,Addictions Caf&#233; &amp; Remedy Bar,"Marina Square, 6 Raffles Boulevard #02-105A",$21 - $30,Multi-Cuisine,3.5,1.291914,103.856261,25.5,1,0
79,79,Aglio Olio,"Nankin Row, 3 Pickering St #01-40/41",$11 - $20,Italian,3.5,1.283955,103.847818,15.5,19,0
80,80,Agrobazaar Malaysia,37-43 Sultan Gate,$0 - $9,Malaysian,3.5,1.301576,103.860554,4.5,25,0
82,82,Ah Chuan Fried Oyster Omelette,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-25",$0 - $9,Fujian/Heng Hwa,3.5,1.335532,103.85695,4.5,26,1
82,82,Ah Chuan Fried Oyster Omelette,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-25",$0 - $9,Fujian/Heng Hwa,3.5,1.335532,103.85695,4.5,27,1
83,83,Ah Dong Tea Restaurant,10 Tebing Lane #01-03/04,$0 - $9,Fusion,3.5,1.392912,103.917405,4.5,21,0
84,84,Ah Heng Curry Chicken Bee Hoon Mee,"Hong Lim Market &amp; Food Centre, Blk 531A Upper Cross St #02-57/58",$0 - $9,Chinese,4.0,1.285221,103.845905,4.5,5,0
85,85,Ah Heng Duck Rice,"Hong Lim Market &amp; Food Centre, Blk 531A Upper Cross St #02-64",$0 - $9,Chinese,3.5,1.285221,103.845905,4.5,5,0
89,89,Ah Kow Mushroom Minced Pork Mee,Block 359 Bukit Batok Street 31,$0 - $9,"Malaysian, Singaporean Chinese",3.5,1.361365,103.751307,4.5,25,1
89,89,Ah Kow Mushroom Minced Pork Mee,Block 359 Bukit Batok Street 31,$0 - $9,"Malaysian, Singaporean Chinese",3.5,1.361365,103.751307,4.5,15,1
91,91,Ah Liang BBQ Seafood,"Serangoon Garden Market &amp; Food Centre, 49A Serangoon Garden Way",$0 - $9,Singaporean,3.0,1.363239,103.866651,4.5,4,0
93,93,Ah Loy Thai,"Shaw Towers, 100 Beach Road #01-39/40",$11 - $20,Thai,4.0,1.296996,103.85689,15.5,12,0
94,94,Ah Meng Restaurant,"Singapore Zoo, 80 Mandai Lake Road",$0 - $9,Singaporean,3.5,1.404081,103.783544,4.5,4,0
95,95,Ah Nam BBQ Seafood Steamed Fish,"Changi Village Hawker Centre, Blk 2 Changi Village Road #01-67/68",$0 - $9,Chinese,3.5,1.38907,103.988457,4.5,5,0
96,96,Ah Orh Seafood Restaurant,Blk 115 Jalan Bukit Merah #01-1627,$31 - $50,"Teochew, Chinese",4.0,1.284098,103.814547,40.5,8,1
96,96,Ah Orh Seafood Restaurant,Blk 115 Jalan Bukit Merah #01-1627,$31 - $50,"Teochew, Chinese",4.0,1.284098,103.814547,40.5,5,1
97,97,Ah Seah Teochew Porridge,31/33 Teck Chye Terrace,$0 - $9,"Teochew, Chinese",3.0,1.353392,103.87677,4.5,8,1
97,97,Ah Seah Teochew Porridge,31/33 Teck Chye Terrace,$0 - $9,"Teochew, Chinese",3.0,1.353392,103.87677,4.5,5,1
100,100,Ah Teck Herbal Claypot Bak Kut Teh ,"161 Bukit Merah Central, #01-3749, Hua Ren Ju Seafood Restaurant",$0 - $9,Singaporean,3.5,1.283532,103.815885,4.5,4,0
101,101,Ah Yat Seafood Restaurant,"The Grandstand, 200 Turf Club Road #03-01/02",$51 - $80,Chinese,3.5,1.338869,103.792986,65.5,5,0
102,102,Ah Yee&#39;s Soon Kueh,"Dunman Food Centre,  271 Onan Road #01-05",$0 - $9,Teochew,3.5,1.309418,103.901833,4.5,8,0
103,103,Aher Soup,443 Pasir Ris,$0 - $9,"Singaporean, Chinese",3.5,1.369589,103.957391,4.5,4,1
103,103,Aher Soup,443 Pasir Ris,$0 - $9,"Singaporean, Chinese",3.5,1.369589,103.957391,4.5,5,1
105,105,AiSkiLin,215F Upper Thomson Road,$0 - $9,Thai,3.5,1.352354,103.834886,4.5,12,0
106,106,Ajisen Ramen,"Lot One Shoppers&#39; Mall, 21 Choa Chu Kang Ave 4 #04-11/12",$11 - $20,Japanese,4.0,1.385003,103.744925,15.5,24,0
107,107,Ajisen Ramen,"The Clementi Mall, 3155 Commonwealth Ave West #B1-34/35",$11 - $20,Japanese,4.0,1.314791,103.764247,15.5,24,0
